Age,Gender,Location,Season_Preference,Season_Food_Preference,Mood_Preference,Mood_Food_Preference,Allergies,Allgery_restriction,Diet_Preference,Smell_Preference,Smell_restriction,Cuisine_Fav,Spice_Pref,Has_Food_Allergies,Mood_Spice_preference
25-34,Prefer not to say,South India,Winter;,corn starters,Stressed,fried rice veg manchuria crispy corn,No,,Vegetarian,Yes,Any Non Veg item,Only Indian Veg foods,medium spicy,0,fried rice veg manchuria crispy corn - Medium-spicy
25-34,Man,South India,Summer;Winter;Rainy;,rainy - rum and chicken salads winter - brandy and vegetable salads summer - beer and vegetable salads,Excited,sushi,No,,Non-Vegetarian,No,,"Japanese
Vietnamese
Indian",medium spicy,0,sushi - Medium-spicy
35-44,Man,South India,Rainy;,masala vadai,No Influence,junk food items,No,,Non-Vegetarian,No,,"Sea food
Mutton
Chicken",medium spicy,0,junk food items - Medium-spicy
25-34,Man,South India,Winter;,chicken mutton duck,Happy,mutton,No,,Non-Vegetarian,No,,"South 
North
Chinese ",medium spicy,0,mutton - Medium-spicy
18-24,Woman,South India,Winter;,rainy season - rasam and chicken fry,Stressed,maggie,No,,Non-Vegetarian,No,,"South Indian
Italian
Chinese ",spicy,0,maggie - SpicyÊ
25-34,Woman,North India,Summer;,for summers it has to be salads for me!,Happy,very subjectivedepends on what i feel like having that day,No,,Dairy Free,No,,"Thai,Indian and Japanese",mild,0,very subjectivedepends on what i feel like having that day - Mild
35-44,Woman,South India,Summer;,"rainy season - pakoda, masal vada, hot coffee or tea summer - lassi, roohufsa",Stressed,pizza or nuggets,No,,Non-Vegetarian,No,"Raw fish prawn, meat ","Chettinadu
Chinese
North indian",medium spicy,0,pizza or nuggets - Medium-spicy
25-34,Woman,South India,Rainy;,veg biriyani,Relaxed,ice cream cake,No,,Vegetarian,No,,"Salad
Biryani
Non garlic",medium spicy,0,ice cream cake - Medium-spicy
35-44,Man,South India,Winter;,winter - non vegetarian food,Happy,happy biryani,No,,Vegan,No,,"Biryani, south indian meals, breakfasts",medium spicy,0,happy biryani - Medium-spicy
25-34,Man,South India,Winter;,fish and nonveg biriyani,Relaxed,cooldirings,No,,Dairy Free,No,,Cake,medium spicy,0,cooldirings - Medium-spicy
35-44,Man,South India,Winter;Rainy;,"rainy pakoda, bajji, spicy traditional chats. summer - cool drinks like sharabhath, lassi, curd rice, masala butter milk",Relaxed,happy chats,No,,Vegetarian,Yes,"Don't like non veg smells like fish, chicken ",South Indian ,spicy,0,happy chats - SpicyÊ
25-34,Man,South India,No Preference;,"in rainy - hot chicken soup, mushroom fry",No Influence,stressed cup of tea,No,,Non-Vegetarian,No,,"Beef curry, prawn biryani and beef biryani ",mild,0,stressed cup of tea - Mild
25-34,Woman,South India,No Preference;,summer - cool falooda rainy - sweet corn with spices,Happy,happy chocolate lava cake,No,,Ovo-Vegetarians(Egg + Veg),No,,"Cakes
Paneer dishes
Fruit salads",medium spicy,0,happy chocolate lava cake - Medium-spicy
35-44,Man,South India,Winter;,sambar rice,Excited,ice cream,No,,Pescetarians (Sea Food + Veg),No,Fish smell,"Mac and cheese
Egg rice
Sambar rice",spicy,0,ice cream - SpicyÊ
25-34,Man,South India,Winter;,non - veg always,Happy,mandi biryani,No,,Gluten Free,No,,"See food, Desert ",spicy,0,mandi biryani - SpicyÊ
25-34,Man,South India,Rainy;,all time favourite coffee,Happy,sad grill chicken,No,,Non-Vegetarian,No,,All Biriyani's,spicy,0,sad grill chicken - SpicyÊ
25-34,Man,South India,Winter;,"chicken, biryani, more - chicken",Relaxed,chicken biryani,No,No,Gluten Free,No,,"Sea food, city biryani, kasmiri wazwan",spicy,0,chicken biryani - SpicyÊ
45-54,Man,South India,Winter;Rainy;,rain season veg and winter season fish,Happy,happyfish fry,No,,Gluten Free,No,,"Fish Masala,
Paneer Tikka Masala,
Veg kolaouri",medium spicy,0,happyfish fry - Medium-spicy
25-34,Man,South India,No Preference;,"summer - manga sambar, seasonal fruits",Sad,it depends something which i hate to have like fried rice or junks but mostly rare,No,,Non-Vegetarian,No,,"South indian, mexican & punjab",medium spicy,0,it depends something which i hate to have like fried rice or junks but mostly rare - Medium-spicy
